,MaritalStatus_Num,Gender_Num,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation_Num,EnglishOccupation_Num,HouseOwnerFlag,NumberCarsOwned,Age,BikeBuyer
0,1,1,20000.0,0,0,3,2,0,0,36,1
1,0,1,20000.0,0,0,3,2,1,0,37,1
2,1,1,10000.0,0,0,1,0,0,2,39,1
3,1,0,10000.0,1,1,1,0,0,0,41,1
4,1,0,10000.0,1,1,1,0,0,0,38,1
5,0,0,20000.0,0,0,3,2,0,0,38,1
6,1,0,20000.0,0,0,3,2,0,0,37,1
7,1,1,20000.0,0,0,2,0,1,0,40,1
8,1,0,20000.0,1,1,2,0,1,0,56,0
9,1,1,30000.0,4,0,4,2,0,0,56,1
10,0,1,30000.0,3,0,4,2,0,0,56,1
11,1,0,20000.0,1,1,2,0,0,0,57,1
12,1,0,20000.0,1,1,2,0,1,0,56,0
13,1,0,20000.0,1,1,2,0,1,0,57,0
14,0,1,20000.0,2,0,2,0,0,1,57,1
15,1,1,30000.0,1,0,4,2,0,0,59,1
16,1,0,30000.0,3,0,4,2,1,0,57,1
17,1,1,30000.0,3,0,3,2,0,0,57,1
18,0,0,30000.0,3,0,3,2,0,0,56,1
19,0,1,40000.0,3,0,4,2,1,0,57,1
20,0,1,30000.0,0,0,3,2,1,0,58,1
21,0,0,30000.0,0,0,3,2,1,0,58,1
22,1,1,30000.0,0,0,3,2,0,0,58,1
23,0,1,40000.0,3,0,4,2,0,0,58,1
24,1,1,30000.0,1,0,3,2,1,0,59,1
25,0,0,30000.0,1,0,3,2,0,0,59,1
26,1,0,10000.0,2,2,1,0,1,0,46,1
27,1,0,10000.0,2,2,1,0,1,0,47,1
28,1,1,20000.0,0,0,2,0,1,1,47,1
29,1,1,20000.0,0,0,2,0,0,1,47,1
30,1,1,20000.0,0,0,2,0,1,1,47,1
31,1,0,20000.0,0,0,2,0,0,1,47,1
32,1,1,10000.0,2,2,1,0,1,0,48,1
33,0,1,30000.0,0,0,3,2,1,0,47,1
34,0,1,30000.0,0,0,3,2,1,0,46,1
35,0,1,40000.0,0,0,4,2,1,0,47,1
36,1,1,20000.0,0,0,2,0,0,1,48,1
37,1,1,20000.0,0,0,2,0,0,1,48,1
38,1,1,30000.0,0,0,3,2,1,0,47,1
39,1,0,30000.0,0,0,3,2,0,0,48,1
40,1,1,40000.0,0,0,4,2,1,0,48,1
41,0,1,40000.0,0,0,4,2,1,0,48,1
42,0,0,40000.0,0,0,4,2,1,0,48,1
43,1,0,50000.0,0,0,4,1,0,0,48,1
44,1,0,50000.0,0,0,4,1,0,0,48,1
45,0,1,50000.0,0,0,4,1,1,0,47,1
46,0,1,10000.0,3,0,2,0,0,2,65,0
47,1,1,10000.0,3,0,2,0,0,2,65,1
48,0,0,10000.0,3,0,1,0,0,2,65,0
49,1,0,10000.0,3,3,1,0,1,0,49,0
50,1,1,10000.0,3,3,1,0,1,0,49,1
51,1,0,20000.0,1,1,2,0,0,0,49,1
52,0,1,20000.0,1,1,2,0,1,1,49,1
53,0,1,40000.0,1,0,4,2,1,0,94,0
54,0,1,30000.0,1,0,3,2,1,0,48,1
55,1,1,30000.0,1,0,3,2,0,0,49,1
56,0,0,40000.0,0,0,4,2,1,0,49,1
57,1,0,40000.0,0,0,4,2,1,0,48,1
58,1,0,40000.0,0,0,4,2,1,0,49,1
59,1,0,40000.0,0,0,4,2,0,0,49,1
60,1,0,40000.0,0,0,3,2,0,0,49,1
61,0,0,40000.0,0,0,3,2,1,0,48,1
62,1,0,10000.0,3,3,0,0,1,1,49,1
63,1,0,20000.0,1,1,2,0,1,1,50,1
64,0,1,20000.0,1,1,2,0,1,1,50,1
65,1,0,20000.0,1,1,2,0,1,1,50,1
66,1,1,20000.0,1,1,2,0,0,1,50,1
67,1,0,20000.0,1,1,1,0,1,1,49,1
68,1,1,30000.0,1,1,3,2,1,0,50,1
69,1,0,30000.0,1,1,3,2,0,1,50,1
70,1,0,20000.0,1,1,1,0,0,1,51,1
71,1,0,40000.0,0,0,3,2,0,0,49,1
72,1,0,40000.0,0,0,3,2,0,0,49,1
73,1,1,30000.0,1,1,3,2,0,1,51,1
74,1,0,30000.0,1,1,3,2,0,1,51,1
75,1,1,30000.0,1,1,3,2,0,1,50,1
76,1,1,20000.0,2,2,1,0,1,0,51,1
77,1,0,20000.0,2,2,1,0,1,0,52,1
78,1,1,20000.0,2,2,1,0,1,1,52,1
79,1,1,20000.0,2,2,1,0,1,1,52,1
80,1,1,10000.0,5,2,0,0,1,1,53,1
81,1,1,10000.0,3,2,0,0,1,1,53,0
82,1,1,20000.0,2,2,1,0,1,2,52,0
83,1,0,20000.0,2,2,1,0,1,2,53,0
84,1,0,20000.0,2,2,1,0,0,2,53,0
85,0,0,30000.0,1,1,3,1,1,2,53,0
86,0,1,30000.0,1,1,3,1,1,2,53,0
87,1,1,30000.0,2,2,2,0,1,0,51,1
88,0,0,40000.0,0,0,3,3,0,0,51,1
89,1,1,40000.0,0,0,3,3,0,0,50,1
90,0,0,40000.0,0,0,3,3,0,0,50,1
91,1,1,40000.0,0,0,3,3,1,0,51,1
92,0,0,40000.0,0,0,3,3,0,0,51,1
93,1,0,40000.0,0,0,3,3,1,0,51,1
94,0,0,60000.0,0,0,4,1,1,0,51,0
95,1,1,30000.0,2,2,2,0,1,0,54,1
96,1,0,30000.0,2,2,2,2,1,0,54,0
97,1,1,30000.0,2,2,2,2,1,0,53,1
98,1,1,30000.0,2,2,2,2,1,0,54,1
99,1,0,30000.0,2,2,2,2,1,1,52,1
100,1,0,30000.0,2,2,2,2,1,1,52,0
101,1,1,30000.0,2,2,2,2,1,2,51,0
102,0,0,40000.0,1,0,3,1,1,0,53,1
103,0,1,40000.0,1,0,3,1,1,0,53,1
104,0,1,40000.0,1,0,3,1,1,0,53,1
105,1,1,30000.0,2,2,2,2,1,2,53,0
106,1,1,30000.0,2,2,2,2,0,2,53,0
107,1,1,30000.0,3,3,2,2,1,0,54,0
108,0,0,40000.0,1,0,3,1,1,0,54,1
109,1,0,30000.0,3,3,2,2,1,1,38,1
110,1,1,30000.0,3,3,2,2,1,2,38,1
111,0,1,40000.0,1,0,3,1,1,0,53,1
112,1,1,30000.0,1,0,2,2,0,1,55,0
113,1,1,30000.0,1,0,2,2,0,1,55,1
